REGIAO:;N
UF:;TO
ESTACAO:;PALMAS
CODIGO (WMO):;A009
LATITUDE:;-10,14777777
LONGITUDE:;-48,31444444
ALTITUDE:;267
DATA DE FUNDACAO:;17/12/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;981,5;981,5;980,6;;26,5;23,3;27,2;26,5;24,2;23,3;84;82;83;76;2,7;1,8;
2026/01/01;0100 UTC;0;982,1;982,1;981,5;;25,9;23,5;27;25,9;23,7;23,2;87;80;87;90;2,9;,8;
2026/01/01;0200 UTC;0;982,2;982,4;982,1;;25,1;22,8;25,9;25,1;23,6;22,8;89;86;88;71;2,7;1,5;
2026/01/01;0300 UTC;0;981,5;982,2;981,5;;25,2;21,4;25,9;25;22,9;21,3;88;76;79;86;3,4;1,6;
2026/01/01;0400 UTC;0;981,2;981,5;981,2;;24,4;22,1;25,5;24,3;22,1;21,2;87;77;87;52;4;1,1;
2026/01/01;0500 UTC;0;980,6;981,2;980,6;;24,4;23,3;24,9;24,3;23,3;22,1;93;87;93;72;1,9;1,1;
2026/01/01;0600 UTC;0;980,3;980,6;980,2;;24;22,9;24,6;24;23,4;22,9;94;91;94;91;2,3;1;
2026/01/01;0700 UTC;0;979,7;980,2;979,7;;23,7;22,9;24;23,5;22,9;22,6;95;94;95;76;1,7;1,1;
2026/01/01;0800 UTC;0;980,1;980,1;979,6;;23,5;22,8;23,8;23,4;22,9;22,6;96;94;96;107;2;,5;
2026/01/01;0900 UTC;0;981,1;981,1;980,1;;22,9;22,4;23,6;22,9;22,9;22,4;97;95;97;68;1,8;1,1;
